[2023-02-08 21:10:27,575] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,578] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,581] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,582] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,582] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,585] INFO [Broker id=0] Leader dnf-0 with topic id Some(K468G037RD26NJEc_R8afg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,588] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,589] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,592] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,596] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,599] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 29 with partition epoch 0, high watermark 29, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,600] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,600] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,600] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,603] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,606] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,609] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,612] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,616] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,619] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,623] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,623] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,623] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,626] INFO [Broker id=0] Leader connect-test-0 with topic id Some(izXs4hQxRd-wZJNcY5pmJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,629] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,633] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,636] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,636] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,639] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,639] INFO [Broker id=0] Leader eda-topic-0 with topic id Some(WLsyGEg_SDCUtvJRDM0XMA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,642] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,642] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,643] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 6 with partition epoch 0, high watermark 6, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,643] INFO [Broker id=0] Leader connect-dnf-0 with topic id Some(jsWP38kmQZuuKy7mwsNocw) starts at leader epoch 0 from offset 5058 with partition epoch 0, high watermark 5058, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,643] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,643] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,646] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(svsXhFQXQxu4ymdBQUEMJg) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-08 21:10:27,660] INFO [Broker id=0] Finished LeaderAndIsr request in 177ms correlationId 1 from controller 0 for 56 partitions (state.change.logger)
[2023-02-08 21:10:27,670] INFO [Broker id=0] Add 56 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 17 with correlation id 2 (state.change.logger)
